Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
105,10,10,0,Stephan: 0.5,Stephan: 0.5,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
105,10,10,0,Stephan: 0.5,Stephan: 0.5,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
106,10,11,0,Stephan: 0.5,Dan - Strategy: 0.5,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
106,11,10,0,Dan - Strategy: 0.5,Stephan: 0.5,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
107,10,12,0,Stephan: 0.5,Cardassian General: 0.5,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
107,12,10,0,Cardassian General: 0.5,Stephan: 0.5,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
108,10,13,0,Stephan: 0.5,Cardassian General: 0.5,DDDDDDDDDD,-21,15,10,-2.1,1.5,1,False,0,0,0,3,7,0,0,0,0,0,3,0,6,0
108,13,10,0,Cardassian General: 0.5,Stephan: 0.5,CDCDCDDDDD,-36,-15,10,-3.6,-1.5,0,True,3,0,3,0,7,0,0,0,3,0,0,2,4,1
109,10,14,0,Stephan: 0.5,Alessandro - Random: 0.5,DDDDCCCCCC,-6,20,10,-0.6,2.0,1,False,6,6,0,4,0,5,0,0,0,1,3,0,0,0
109,14,10,0,Alessandro - Random: 0.5,Stephan: 0.5,CCCCCCCCCC,-26,-20,10,-2.6,-2.0,0,True,10,6,4,0,0,5,0,4,0,0,0,0,0,1
110,11,11,0,Dan - Strategy: 0.5,Dan - Strategy: 0.5,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
110,11,11,0,Dan - Strategy: 0.5,Dan - Strategy: 0.5,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
111,11,12,0,Dan - Strategy: 0.5,Cardassian General: 0.5,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
111,12,11,0,Cardassian General: 0.5,Dan - Strategy: 0.5,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
112,11,13,0,Dan - Strategy: 0.5,Cardassian General: 0.5,DDDDDDDDDD,-15,25,10,-1.5,2.5,1,False,0,0,0,5,5,0,0,0,0,0,4,0,5,0
112,13,11,0,Cardassian General: 0.5,Dan - Strategy: 0.5,CDCDCDDCDC,-40,-25,10,-4.0,-2.5,0,True,5,0,5,0,5,0,0,0,4,0,0,4,1,1
113,11,14,0,Dan - Strategy: 0.5,Alessandro - Random: 0.5,DDDDDDDDDD,0,50,10,0.0,5.0,1,False,0,0,0,10,0,0,0,0,0,0,9,0,0,0
113,14,11,0,Alessandro - Random: 0.5,Dan - Strategy: 0.5,CCCCCCCCCC,-50,-50,10,-5.0,-5.0,0,True,10,0,10,0,0,0,0,9,0,0,0,0,0,1
114,12,12,0,Cardassian General: 0.5,Cardassian General: 0.5,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
114,12,12,0,Cardassian General: 0.5,Cardassian General: 0.5,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
115,12,13,0,Cardassian General: 0.5,Cardassian General: 0.5,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
115,13,12,0,Cardassian General: 0.5,Cardassian General: 0.5,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
116,12,14,0,Cardassian General: 0.5,Alessandro - Random: 0.5,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
116,14,12,0,Alessandro - Random: 0.5,Cardassian General: 0.5,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
117,13,13,0,Cardassian General: 0.5,Cardassian General: 0.5,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
117,13,13,0,Cardassian General: 0.5,Cardassian General: 0.5,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
118,13,14,0,Cardassian General: 0.5,Alessandro - Random: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
118,14,13,0,Alessandro - Random: 0.5,Cardassian General: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
119,14,14,0,Alessandro - Random: 0.5,Alessandro - Random: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
119,14,14,0,Alessandro - Random: 0.5,Alessandro - Random: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
